DEBUG - 2020-10-11 21:19:45,339 - End program. 


DEBUG - 2020-10-11 21:20:09,456 - Begin program.
INFO - 2020-10-11 21:20:09,457 - Data base connection:
DEBUG - 2020-10-11 21:20:10,728 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:20:10,949 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:20:11,128 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:20:11,292 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:20:11,530 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:20:11,731 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:20:12,839 - End program. 


DEBUG - 2020-10-11 21:28:19,360 - Begin program.
INFO - 2020-10-11 21:28:19,360 - Data base connection:
DEBUG - 2020-10-11 21:28:20,649 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:28:20,814 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:28:21,067 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:28:21,244 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:28:21,450 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:28:21,645 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:28:23,753 - End program. 


DEBUG - 2020-10-11 21:28:35,793 - Begin program.
INFO - 2020-10-11 21:28:35,793 - Data base connection:
DEBUG - 2020-10-11 21:28:37,103 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:28:37,304 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:28:37,504 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:28:37,702 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:28:37,905 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:28:38,104 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:28:40,010 - End program. 


DEBUG - 2020-10-11 21:28:58,308 - Begin program.
INFO - 2020-10-11 21:28:58,308 - Data base connection:
DEBUG - 2020-10-11 21:28:59,897 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:29:00,084 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:29:00,241 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:29:00,399 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:29:00,562 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:29:00,787 - Table tb_test3 already exists or the query has an error.
DEBUG - 2020-10-11 21:29:04,998 - End program. 


DEBUG - 2020-10-11 21:29:44,186 - Begin program.
INFO - 2020-10-11 21:29:44,186 - Data base connection:
DEBUG - 2020-10-11 21:29:45,323 - Connection to database: BLUDB as user on host nsj92075
ERROR - 2020-10-11 21:29:45,546 - Table tb_student already exists or the query has an error
ERROR - 2020-10-11 21:29:45,704 - Table tb_parent alreadt exists or the query has an error.
ERROR - 2020-10-11 21:29:45,943 - Table tb_test1 already exists or the query has an error.
ERROR - 2020-10-11 21:29:46,145 - Table tb_test2 already exists or the query has an error.
ERROR - 2020-10-11 21:29:46,346 - Table tb_test3 already exists or the query has an error.
